user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,answer_correctness
对于一年期的课程，学生最多允许缺勤多少次？,"['1.  缺勤总次数上限（有理由和/或无理由）\n布鲁克莱恩高中希望学生正常上课和出勤。学校课业学分包括作业评级和\n学习社区参与度。对一年期的课程，学生最多只能缺勤 21 次（占每个课\n程 140 以上天数的 15%），一学期的课程最多缺勤 11 次，两天/周的学期\n课程最多缺勤 6 次。任何缺勤总次数超过该上线的课程将没有学分。达不\n到上述出勤标准的学生，其成绩单上的最终评级将为“N”。', 'd.  第 10 次无故擅自缺勤（AWOLs）：课程的期末成绩为“N”。学生\n无上诉权。\ne.  由 3 次无故缺勤导致期末成绩为“N”的学期课程，可以视出勤改进\n计划和学生上诉情况最终确定。第 5 次无故缺勤之后，学生无上诉权\n利。', 'a.\n首次及其后的无故擅自缺勤（AWOLs）：教师告知学生，无理由缺\n席当天学生所得的作业分数最多不超过总分的一半，包括大小测验的\n成绩。\nb.   1 次以上、5 次以下无故擅自缺勤（AWOLs）：教师和院长按纪律条\n例视情节给予学生处分，其中可能包括与家长沟通，课后留堂，禁止\n进入 X 活动区（X-block），直至停学和留级。', '7.  弥补措施\n学生如果某门课得了“N”，在某些情况下，可以通过暑假学校补课，前提\n是学生累计缺勤不超过 35 次(总课时的 25%，非满学期的课程按照学分折\n算)。缺勤超过总课时 25%之后，学生没有资格参加暑期学校“补回”该课\n程的学分。学生在这种情况下只有参加暑期学校完整修读该课程的全部原定\n学分，或在下一年重新修读这门课程。(请注意：BHS 暑期学校不开设“全\n部原定学分”的英语课程。）\n8.   上诉\n如果一个学生成功履行了其出勤改进计划，学生可通过院长请求校长考虑删', '4.   无理由缺勤（无故擅自缺勤，AWOLs）\n布鲁克莱恩高中要求学生所有课程一律出勤。以下列出了一年期课程无理由\n缺勤的处罚；如一学期课程或半学分课程无理由缺勤总数占到一定比例，也\n适用于下述规定。']",根据学生守则，对于一年期的课程，学生最多只能缺勤 **21 次**（占每个课程140天以上天数的15%）。如果缺勤总次数超过这个上限，该课程将没有学分。,对于一年期的课程，学生最多只能缺勤 21 次 。,1.0,0.7942032794818336,0.5
SMARTS 制度中的字母 “M” 和 “S(最后一个)” 分别代表什么意思？,"['[--- 以下为文件第 18 页内容 ---]\n规章 1.4：个人电子设备使用制度\n布鲁克莱恩高中认识到了当今世界科技的广泛应用。然而我们的校园文化建设\n同时也高度重视人际互动，重视现实生活中人与人之间的密切往来。考虑到这两方\n面的现实情况，我们主张 SMARTS 制度：', '各系在每学年伊始都在特殊纪律中说明作弊和抄袭问题。新生将会由一名管理\n人员当面告知相关事项，确保学生理解相关制度。最后，国际学生辅导员将与学\n生、教师、管理员合作，向来自不同文化的学生解释这些内容。', 'a.  所有缺勤，无论有无理由，都将记入缺勤总次数上限。以下情况除                                                                                                                                                 \n                                        外：宗教节日、马萨诸塞州综合评估系统测试（MCAS）、大学先', '规章 2.2：枪支武器零容忍政策\n禁止携带任何枪支进入学校建筑物内或校园其他地方\n《马塞诸塞州普通法》第 269 章第 10 节规定：\n（j）“任何非执法人员，即使其获得第                                     140  章（见下文）规定的持枪\n牌照，若将枪支（见下文定义）携带进任何初高中或大学校园的教学楼\n和活动场地，无论枪支有无弹药，携带者均将被处于                                                 1000   美元以下的\n罚款（$1,000）或一年以下的拘留，亦或两罚并处。在本条款中，“枪\n支”包括任何能够发射子弹的普通手枪、左轮手枪、步枪和滑膛枪等。\n第 150 章第 2 节，St.1989 修正。”', '[--- 以下为文件第 10 页内容 ---]\n\n修课程考试（A.P.              exams）、特殊教育考试和会议、前往中国交换                                                                                                                               \n                                        学习或停学等。']","根据提供的参考内容，我无法回答您的问题。参考内容中虽然提到了“SMARTS 制度”，但并未对其中每个字母的具体含义进行解释，特别是您所询问的字母“M”和最后一个“S”代表什么。

因此，根据参考内容，我不知道答案。", “M” 代表习惯（布鲁克莱恩高中的毕业生将具有良好的科技产品使用习惯）；最后一个 “S” 代表静音（使用所有科技产品必须静音）。,0.8,0.0,0.7142857142857143
学校规定的“含酒精饮料”的标准是什么？,"['[--- 以下为文件第 13 页内容 ---]\n规章 1.2：校内或学校举办的活动场所实施毒品及饮酒零容忍政策\n布鲁克莱恩学校认为未成年人拥有和/或使用非法药品/毒品、非法拥有和/或饮\n用酒精饮料，将会严重损害学生的身体和/或情绪状态。因此，布鲁克莱恩高中制\n定了严格的规章，在校内或在学校举办的活动，包括运动会以及非教学日的校外\n社会活动，禁止拥有、出售、转让或使用以上物品。', '法律定义\n\n“含酒精饮料”：华氏                      60°时酒精含量达到或超过                       1.5%的、适用于人类消费的液                                                                                                             \n                      体。G.L.c.138，S.1\n\n“管控物品”：G.L.c.94C                   定义的一切管控物品或药品。', 'A.藏有：教工或学生如有可据理由怀疑学生藏有毒品或酒精应向学校管理人员报\n告。学生管理人员将就此展开调查，并可以请求警方参与；适当情况下，应采取以\n下步骤：\n违禁 #1：通知学生父母或监护人，举行校纪聆讯，处以学生至少五天停学\n处罚。学生须接受强制的毒品教育和咨询辅导。学生还可能被剥夺参与学\n校课外活动的权利，禁止进入校园，甚至被校长开除学籍。', '[--- 以下为文件第 23 页内容 ---]\n豪：尊重每个人已成为我校的标志性理念。对于言语骚扰行为，学校始终给予高度\n重视；对于任何违反“尊重爱人”校园文化理念的学生，学校均会给予严厉处罚。\n依据新欺凌法，学校需要制定制止校园欺凌行为的正式方案。在本区教育官员的带\n领下，我们学校以及布鲁克莱恩其他公立学校根据《关于校园欺凌行为的法案》的\n规定，共同制定了相关方案。这期间，我校以海报形式对州法律规定的欺凌行为进\n行了普法宣传，并介绍了我校近来惩治欺凌行为的措施和进展。', '规章 2.2：枪支武器零容忍政策\n禁止携带任何枪支进入学校建筑物内或校园其他地方\n《马塞诸塞州普通法》第 269 章第 10 节规定：\n（j）“任何非执法人员，即使其获得第                                     140  章（见下文）规定的持枪\n牌照，若将枪支（见下文定义）携带进任何初高中或大学校园的教学楼\n和活动场地，无论枪支有无弹药，携带者均将被处于                                                 1000   美元以下的\n罚款（$1,000）或一年以下的拘留，亦或两罚并处。在本条款中，“枪\n支”包括任何能够发射子弹的普通手枪、左轮手枪、步枪和滑膛枪等。\n第 150 章第 2 节，St.1989 修正。”']",根据学生守则中的法律定义，“含酒精饮料”是指：在**华氏60°时酒精含量达到或超过1.5%的、适用于人类消费的液体**。,含酒精饮料”是指华氏 60° 时酒精含量达到或超过 1.5% 的、适用于人类消费的液体 。,1.0,0.7475845658617507,0.8
如果学生被发现在校园内吸烟，第一次和第二次被发现分别会受到什么具体处罚？,"['违禁 #1：通知学生家长或监护人，并让他们安排把学生从护士办公室带回\n家。学生必须有人监看，直至学生进入管理人员、家长/监护人的会谈现\n场。举行校纪聆讯，学生将被处以停学至少三天的处罚。学生须接受强制\n毒品教育和咨询辅导。学生还可能被剥夺参与学校课外活动的权利，禁止进\n入校园，甚至被校长开除学籍。', 'i.  马萨诸塞州普通法第 71 章第 37H½节规定：学生如在学校宿舍、学校活动\n或与学校有关的活动（包括竞技游戏）中被发现携带危险武器（包括但不\n仅限于枪支或刀具）或第                         94  章    C  规定的管制物品（包括但不仅限于大\n麻、可卡因、海洛因等），可能被校长开除出学校或学区。学生如在学校\n宿舍、学校活动或与学校有关的活动（包括竞技游戏）中攻击校长、副校\n长、教师、教师助理或其他教学员工，可能会被校长开除出学校或学区。\n任何被控诉违反(a)或(b)条款的学生会收到一份参加聆讯的书面通知；假\n如该学生准备了自我陈述，该生可在上述聆讯现场向校长出示证据和证\n人。', '•    违禁     #2（及后续违规行为）：学生将被要求参加药物滥用预防教育的\n烟草教育课程（TEP）。烟草教育课程含有一次学生和家长的教育与评\n估会。父母可以选择让孩子参加额外课程，并将获得额外资源的信息。', '规章 1.5：禁烟制度\n马萨诸塞州所有中小学生，在正常上课时间内使用任何类型的烟草制品均属于\n违法行为。另外，严禁任何人，包括学校工作人员，在校园建筑、学校设施、学校\n场地和校车内使用任何烟草制品，详见：马萨诸塞州普通法 71 章 2A 款；马萨诸\n塞州普通法 71 章 37H 款；布鲁克莱恩公学规章制度手册，G(1)(c)款。', '再犯：停学 3 天并执行违禁#1 的所有处罚措施。\n《马塞诸塞州欺凌法案》：\n2010 年 5 月 3 日，马萨诸塞州州长迪沃·帕特里克签署了《马塞诸塞州普通\n法》第 71 章第 370 条法案《关于校园欺凌行为的法案》。该法要求各校区制定并\n实施制止校园欺凌行为的办法。在布鲁克莱恩高中，为确保每位学生和教职人员的\n安全，我们始终致力于建设和谐安全的校园环境；我们也为自己取得的成绩感到自']","根据《学生守则.pdf》中的规定：  

- **第一次违禁（违禁 #2）**：学生将被要求参加**烟草教育课程（TEP）**，该课程包含一次学生和家长的教育与评估会。家长可以选择让孩子参加额外课程，并获得相关资源信息。  
- **第二次违禁（再犯）**：学生将被处以**停学 3 天**，并执行**违禁 #1 的所有处罚措施**，包括通知家长、校纪聆讯、强制毒品教育与咨询辅导，并可能被剥夺参与课外活动、禁止进入校园，甚至被开除学籍。  

**依据来源**：  
1. 违禁 #2 的处罚规定（烟草教育课程）。  
2. “再犯：停学 3 天并执行违禁 #1 的所有处罚措施”。  
3. 违禁 #1 的具体内容（通知家长、停学至少三天、强制教育/咨询、可能开除等）。", 第一次违规：学生将受到警告，校方会致电家长或监护人，并寄出信函或电子邮件告知违规行为 。第二次违规：学生将被要求参加烟草教育课程（TEP）。,0.9285714285714286,0.819966577012719,0.2
发生哪些事件时，学校的授权报告机构必须立即向警方报告？请列举至少三项。,"['下列授权报告事件发生时，授权报告机构将立即向指定的联络警方报告：\n\uf0b7    学校财产范围内\n\uf0b7    学校财产 1000 英尺半径范围内\n\uf0b7    学校资助的活动上\n\uf0b7    学校所有或学校合同签有的交通工具内', 'A.藏有：教工或学生如有可据理由怀疑学生藏有毒品或酒精应向学校管理人员报\n告。学生管理人员将就此展开调查，并可以请求警方参与；适当情况下，应采取以\n下步骤：\n违禁 #1：通知学生父母或监护人，举行校纪聆讯，处以学生至少五天停学\n处罚。学生须接受强制的毒品教育和咨询辅导。学生还可能被剥夺参与学\n校课外活动的权利，禁止进入校园，甚至被校长开除学籍。', '\uf0b7    任何涉及或涉嫌犯下仇恨罪行或侵犯公民权利的事件\n\uf0b7    任何纵火事件或威胁，或涉及燃烧装置或爆炸物的事件\n\n所有员工都将遵守学校的建筑设施范围内标准应对措施方案，及时报告上述事                                                                                                                                                        \n                      件。', '违禁 #1：管理人员召集家长或监护人，并给予警告，同时将违规行为\n按照严重程度分为“A”“B”“C”和“F”四等，然后决定是否需要\n警方立即介入。\n违禁 #2：管理人员举行由涉事学生及家长或监护人参加的校纪聆讯，\n如果事出有因，要求涉事学生就所犯违禁事项撰写研究报告或其他研究\n性质的书面作业；此种作业如未能按时完成，学生将立即被处以两天的\n停学处罚。必要时可要求学生参加相关行为的咨询辅导。', '修正。”\n武器是指任何可以造成人身伤害的物品，例如，枪支、木棒、铜环、刀、子\n弹，或工具均属于违禁武器。因此，如果教职工确实亲眼目睹学生携带、出售或转\n让武器，应立即向学校管理人员报告。']","根据学生守则，授权报告机构必须立即向警方报告的事件包括：  

1. **涉及或涉嫌犯下仇恨罪行或侵犯公民权利的事件**。  
2. **任何纵火事件或威胁，或涉及燃烧装置或爆炸物的事件**。  
3. **在学校财产范围内、学校财产1000英尺半径范围内、学校资助的活动上，或学校所有/合同签有的交通工具内发生的授权报告事件**（具体事件类型可包括上述两项）。  

此外，若学生**藏有毒品或酒精**，学校管理人员会展开调查并可能请求警方参与；若**学生携带、出售或转让武器**，教职工也需立即向学校管理人员报告，这类事件同样可能涉及警方介入。",必须报告的事件包括（列举三项即可）：拥有、销售或分发酒类、吸入剂或管制物品 。导致严重人身伤害或重大财产损坏或损失的事件 。拥有枪械或危险武器 。任何性侵犯、强奸、骚扰 。家庭暴力、虐待、约会暴力 。身体虐待或性虐待儿童 。仇恨罪行或侵犯公民权利 。纵火或涉及爆炸物的事件 。,1.0,0.8142659757702123,
一名校队运动员如果是第一次违反药品卫生制度，他对后续比赛的参与资格会受到什么具体影响？如果是第二次违规呢？,"['[--- 以下为文件第 15 页内容 ---]\nMIAA 学生运动员化学药品卫生政策追加处罚：\n1.   首次违禁：运动员主任，或由校长或校长指定负责人召开的校纪聆讯，如果确\n定某一学生存在违禁事实，该生将失去参加此后系列校际比赛的资格，占该运\n动校际比赛总场次的                    25%（见       MIAA 手册，2005 年               7 月    1 日）。任何被医治\n项目收治的学生均不得例外。为辅助康复，建议可以让学生继续保持练习。', '2.   第二次及之后的违禁：运动员主任，或由校长或校长指定负责人召开的校纪聆\n讯，如果确定某一学生存在违禁事实，该生将失去参加此后系列校际比赛的资\n格，占该运动校际比赛总场次的 60%。第二次及以上违禁后，学生如自愿加入\n获得学校批准认可的治疗方案，则学生可能有机会在赛事结束 40%之后重新取\n得参赛资格。', '违规情况#2：布鲁克莱恩警方报告学生违反药品卫生管理制度后，该生姓\n名将被提交给表演系主任和教职员工。主任和教职员工将采取下列惩处措\n施：涉事学生必须参加注意力转移项目，接受疏导和教育，以使他们能成功\n回归表演系的角色中。此外，学生还将被罚以以下惩处：\n1.)如学生目前正在参加任何课外表演作品的试镜，她/他将失去参加该作品\n下一次演出的资格。', '违规情况#1：布鲁克莱恩警方报告学生违反药品卫生管理制度后，该生姓\n名将被提交给表演系主任和教职员工。主任和教职员工将采取下列惩处措\n施：涉事学生必须参加注意力转移项目，接受毒品教育，以使他们能成功回\n归表演系的角色中。此外，学生还将被罚以以下惩处：\n1.)如学生目前正在参加任何课外表演作品的试镜，她/他将失去参加该作品\n下一次演出的资格。', '违禁 #1：学生如违反布鲁克莱恩高中药品卫生制度将被转介参加药物滥\n用预防方案接受评估。学生如拒绝配合评估程序，将面临院长主持的校纪\n聆讯，且学生将被禁止参与任何学校举办的课外活动。']","根据《学生守则》中的规定：

**第一次违禁**：如果校纪聆讯确定学生存在违禁事实，该生将**失去参加此后系列校际比赛的资格，占该运动校际比赛总场次的25%**。

**第二次及之后的违禁**：如果校纪聆讯确定学生存在违禁事实，该生将**失去参加此后系列校际比赛的资格，占该运动校际比赛总场次的60%**。不过，如果学生自愿加入学校批准的治疗方案，则**可能有机会在赛事结束40%之后重新取得参赛资格**。",第一次违规，该生将失去参加此后系列校际比赛的资格，占该运动校际比赛总场次的 25% 。第二次及之后的违规，该生将失去参加此后系列校际比赛的资格，占该运动校际比赛总场次的 60% 。,1.0,0.7402028226858159,0.6153846153846153
无故缺勤达到第6次和第10次时，学生成绩的处理和上诉权利有什么不同？,"['d.  第 10 次无故擅自缺勤（AWOLs）：课程的期末成绩为“N”。学生\n无上诉权。\ne.  由 3 次无故缺勤导致期末成绩为“N”的学期课程，可以视出勤改进\n计划和学生上诉情况最终确定。第 5 次无故缺勤之后，学生无上诉权\n利。', '[--- 以下为文件第 11 页内容 ---]\nc.  第 6 次无故擅自缺勤（AWOLs）：课程成绩判定为“N”。征询教\n师意见。制定考勤改进计划，如果学生随后达到出勤改进计划的要\n求，在课程结束时，学生可以就本课程的“N”成绩上诉，且能够得\n到学校的支持。在考勤改进计划实施期间，之前及其后的无故擅自缺\n勤记录将累积计算（错误记录除外）。', '由 3 次无故缺勤导致期末成绩为“N”的学期课程，可以视出勤改进\n计划和学生上诉情况最终确定。第 5 次无故缺勤之后，学生无上诉权\n利。\n\n5.  缺勤通知\n\na.  学校给家长发送自动电话讯息，告知学生无故缺勤的日期。电话讯息                                                                                                                                                \n                                        仅做告知用途，不用于计算累计缺勤次数。\n\nb.  家长可以通过 X2 门户查看所有的考勤数据。', '家长可以通过 X2 门户查看所有的考勤数据。\nc.  成绩报告上的“Q”是一个警告，提醒学生和家长学生存在出勤问\n题。\n\uf0b7   季度：每门课程每季度 6 次级以上总缺勤或 2 次无故缺勤\n（AWOLs），将会导致成绩报告上出现“Q”成绩状态。\n\uf0b7   年度：每门课程年度 12 次及以上总缺勤或 4 次无故缺勤\n（AWOLs），将会导致成绩报告上出现“Q”成绩状态。\n\uf0b7   季度内出现“Q”成绩状态的学生需要面见他们的院长/项目\n协调员，商讨必要的措施和保障提高出勤率。会议的结果将\n会通知学生家长。\n6.  成绩单\n学生正式成绩单上只出现“N”标记。季度的“Q”标记只出现在成绩报告\n卡上。', '7.  弥补措施\n学生如果某门课得了“N”，在某些情况下，可以通过暑假学校补课，前提\n是学生累计缺勤不超过 35 次(总课时的 25%，非满学期的课程按照学分折\n算)。缺勤超过总课时 25%之后，学生没有资格参加暑期学校“补回”该课\n程的学分。学生在这种情况下只有参加暑期学校完整修读该课程的全部原定\n学分，或在下一年重新修读这门课程。(请注意：BHS 暑期学校不开设“全\n部原定学分”的英语课程。）\n8.   上诉\n如果一个学生成功履行了其出勤改进计划，学生可通过院长请求校长考虑删']","根据《学生守则》的规定，无故缺勤（AWOLs）达到第6次和第10次时，学生的成绩处理和上诉权利存在以下不同：

### **第6次无故缺勤**
*   **成绩处理**：课程成绩判定为“N”。
*   **上诉权利**：**学生拥有有条件的上诉权**。具体流程如下：
    1.  学校会征询教师意见，并为学生制定考勤改进计划。
    2.  如果学生在后续课程中达到了出勤改进计划的要求，那么在课程结束时，学生可以就本课程的“N”成绩提出上诉，并且能够得到学校的支持。
    3.  在改进计划实施期间，无故缺勤的记录会继续累积计算。

### **第10次无故缺勤**
*   **成绩处理**：课程的期末成绩为“N”。
*   **上诉权利**：**学生无上诉权**。规定明确指出，在此情况下学生“无上诉权”。

**总结**：核心区别在于**上诉权利**。第6次缺勤后，学生有机会通过履行改进计划来获得上诉资格；而第10次缺勤后，学生则完全丧失了上诉权利。", 第 6 次无故擅自缺勤时，课程成绩判定为 “N”，但如果学生随后达到出勤改进计划的要求，在课程结束时可以就该成绩上诉并得到学校支持 。第 10 次无故擅自缺勤时，课程的期末成绩为 “N”，且学生无上诉权 。,1.0,0.8231334199512025,0.6956521739130435
学校对“作弊”和“抄袭”的定义分别是什么？,"['抄袭\n抄袭是指引用他人语句、数据、创意或观点，未在脚注或参考文献中注明的行\n为。该行为包括原文引用、释义、改写，以及提交非本人完成的作业。\n作弊和抄袭处理制度：\n授课教师将会纠察日常家庭作业中的作弊和抄袭行为。其他所有作业同样适用\n该制度；任何申请学分的作业或作品，包括草稿和提纲，亦适用该制度。学生的作\n弊行为将被记入学生档案，并保存在管理员办公室。违规行为实行跨学科累积。例\n如，如果某学生二年级时在物理科目中作弊，后在三年级英语科目中抄袭，则该生\n违规两次。', '[--- 以下为文件第 17 页内容 ---]\n作弊和抄袭之定义\n作弊\n作弊是指未经允许，拥有、传递、共享、获取或展示对学生有利的信息或材\n料。\n作弊行为包括但不限于：考试期间以任何方式传递信息，考试期间拥有或使用\n任何未经允许的材料或科技产品，在班级间传递考试相关的信息，以及提交非本人\n完成的作业。', '[--- 以下为文件第 17 页内容 ---]\n作弊和抄袭之定义\n作弊\n作弊是指未经允许，拥有、传递、共享、获取或展示对学生有利的信息或材\n料。', '教育宣传：\n所有学生在一年级第一学期将参加一次咨询课，了解作弊、抄袭的定义，以及\n学校关于学术不端的制度。咨询课不仅明确作弊和抄袭的定义，告知学生其后果，\n还特别强调，学生的行为代表着其个人以及布鲁克莱恩社区的品格。', '此外，不当或非法使用电子设备将受到学校处罚，并/或移交警方处理。此违\n规情况包括使用电子设备侵犯学生、工作人员或教师的隐私，或涉嫌骚扰或诽谤。\n任何滥用电子设备的行为，包括使用科技产品作弊、抄袭或秘密记录他人交流内\n容，将导致电子设备被立即没收，并可能会引起其他可能的法律惩处和/或学校处\n罚。']","根据《学生守则》，学校对“作弊”和“抄袭”的定义如下：

**作弊**  
指未经允许，拥有、传递、共享、获取或展示对学生有利的信息或材料。具体行为包括但不限于：  
- 考试期间以任何方式传递信息；  
- 考试期间拥有或使用任何未经允许的材料或科技产品；  
- 在班级间传递考试相关的信息；  
- 提交非本人完成的作业。

**抄袭**  
指引用他人语句、数据、创意或观点，未在脚注或参考文献中注明的行为。具体包括：  
- 原文引用、释义、改写而未注明来源；  
- 提交非本人完成的作业。

此外，学校强调滥用电子设备进行作弊、抄袭等行为将导致设备被没收，并可能面临学校处罚或法律惩处。",作弊是指未经允许，拥有、传递、共享、获取或展示对学生有利的信息或材料 。抄袭是指引用他人语句、数据、创意或观点，未在脚注或参考文献中注明的行为 。,0.8181818181818182,0.7131310882873501,0.3076923076923077
学校可以随时大范围搜查学生的储物柜吗？警察搜查储物柜的前提条件是什么？,"['(b) 禁止大范围搜查储物柜，除非校长或他/她指定的人员认为学校存在安全                                                                                                                                                     \n                                 威胁。\n\n(c) 警察如携带有效搜查令，可在任何时间搜查储物柜。', '(b) 搜查程度必须与搜查目标匹配，不能超出该违纪行为的本质，不能超出学                                                                                                                                                     \n                                 生年龄和性别的适度范围，且必须在另一位学校管理人员的监察下执行。\n\n2.   搜查储物柜：', '中小学校长、校长助理如对学生的身体、储物柜或财产进行搜查：', '(a) 储物柜为布鲁克莱恩公立学校所有财产，学校教职工可在任何时间对其进                                                                                                                                                     \n                                 行检查。', '搜查和没收\n\n校方的检查和没收行动以维护布鲁克莱恩公立学校学生和教职工的安全福利为                                                                                                                                                        \n                      宗旨。\n\n1.   美国最高法院对一切搜查标准的规定：']","根据学生守则的规定：  

1. **学校是否可以随时大范围搜查学生的储物柜？**  
   不可以。学校虽有权随时检查储物柜（因其为学校财产），但**大范围搜查**需要满足特定条件：除非校长或其指定人员认为学校存在安全威胁，否则禁止大范围搜查储物柜。  

2. **警察搜查储物柜的前提条件是什么？**  
   警察需携带**有效搜查令**，才可在任何时间搜查储物柜。",禁止大范围搜查储物柜，除非校长或他/她指定的人员认为学校存在安全威胁 。警察搜查储物柜的前提条件是必须携带有效搜查令 。,1.0,0.8396751035563177,0.5454545454545454
国际留学生如果违反了校规，会不会被直接取消签证并遣返回国？,"['[--- 以下为文件第 22 页内容 ---]\n违禁 #1（以及再犯）：由涉事学生管理员举行学生、家长或监护人共同参\n加的聆讯。如果发现该学生确实违反了本条规定，则该生将被处以停学处\n罚，在此期间，校长将决定是否开除该生。', '如学生违反本节条款并被开除学籍，则该生申请其他学校入学时，开除该\n生出校的学监应向接收该生学校的学监提交一份通知，说明该生被开除学\n籍的原因。\n\nh.  马萨诸塞州普通法第 71 章第 37H½节规定如下：', '任何按照上述条款被开除出学区的学生都有权向学监提出上诉。被开除学\n生有权聘请律师参与学监举行的聆讯。上诉主题不应仅限于学生是否违反\n了本节任何条款的事实性判定。\ng.  如学生违反本节条款并被开除学籍，则该生申请其他学校入学时，开除该\n生出校的学监应向接收该生学校的学监提交一份通知，说明该生被开除学\n籍的原因。', '违禁 #1：学生如违反布鲁克莱恩高中药品卫生制度将被转介参加药物滥\n用预防方案接受评估。学生如拒绝配合评估程序，将面临院长主持的校纪\n聆讯，且学生将被禁止参与任何学校举办的课外活动。', '违禁 #1：通知学生家长或监护人，并让他们安排把学生从护士办公室带回\n家。学生必须有人监看，直至学生进入管理人员、家长/监护人的会谈现\n场。举行校纪聆讯，学生将被处以停学至少三天的处罚。学生须接受强制\n毒品教育和咨询辅导。学生还可能被剥夺参与学校课外活动的权利，禁止进\n入校园，甚至被校长开除学籍。']","根据提供的《学生守则》内容，其中没有提及国际留学生的签证问题。文件主要规定了学生违反校规（如涉及违禁品）后的校内处理程序，包括停学、开除学籍以及相关的聆讯和上诉权利。签证事宜通常由国家的移民法律法规管辖，不属于学校《学生守则》的规范范围。

因此，基于参考内容，我无法确定违反校规是否会导致签证被取消或遣返回国。建议直接咨询学校的国际学生办公室或相关移民部门以获取准确信息。",抱歉，当前文档中并未提及关于国际留学生签证取消或被遣返回国的相关规定。（系统不应自行编造移民局相关的惩罚）。,0.7272727272727273,0.0,0.4444444444444444
